word|meaning|translation
जवानी||youth
कुरबानी||marytr (give up life)
नारी||women
विधवा||widow (husband is dead)
उदैपुर||Udaipur (a city)
जनरल||General
झाँसी||Jhansi
फॉरेन||Foreign
यमुना-तट||Yamuna bank
लेफ्रि़||Lefre
परदे||curtain
व्यापारी||trader
ग्वालियर||Gwalior (a city)
अर्जुन||Arjun
लक्ष्मीबाई||Laxmi Bhai
दिव्य||Divya
इतिहास||Historic
मद्रास||Madras (old name of Chennai)
स्वतंत्रता-महायज्ञ||Master of freedom
अनुनय||persuade
सौभाग्य||good luck
उकसानी||poke (provoke)
मेरठ||Meerut (a city)
बलिदान||sacrifice
कानपुर||Kanpur (a city)
बिसात||Chessboard
घेरना||surround
मौलवी||Muslim religious person
मर्दानी||man
ठाकुर||Village head
फ़ाँसी||hanging
तेइस||23
फिरंगी||foreigner
जबलपुर||Jabalpur (a city)
बरछी||spear
सैनिकों||soldiers
सिंहासन||throne
व्यूह||array
कुँवरसिंह||Kuvar Singh
दुर्ग||Durga
पसारे||reach out
मनुज||Manoj
वीरता||courage
शत्रु||enemy
अंग्रेजों||British
सहेली||Girl friends
दिल्ली||Delhi
ब्याह||marriage
बधाई||Congratulations
नागपुर||Nagpur (a city)
नौलख||A place
पथ||route
मैदानों||fields
सिंध||Sindh (a district)
कृपाण||Saber
वारिस||hier
हैरानी||surprise
अमिट||perfect
बंगाले||Bengal
विनय||shy
अनुनय||persuade
वॉकर||Walker
अहमद||Ahmed
अश्रुपूर्ण||tearful
टनेन्ट||Tenant
ठानी||fix
ज्वाला||flame
जबानी||words
फ़ौजे||armour
आराध्य||adorable
तंजोर||Tanjore (a city)
किंतु||but
अंतरतम||inner most
कृतज्ञ||grateful
लखनऊ||Lucknow (capital of UP)
खाई||ditch
रजधानी||capital
वेदना||pain
पंजाब||Punjab
शाह||Shah
शिवाजी||Shivaji
अजब||strange
कुटियों||hut
शोक-समानी||mourning
झोपड़ी||hut
खुशियाँ||happiness
करनाटक||Karnataka
सिंधिया||From Sindh
सतारा||Satara (a city)
जख्मी||injured
बहुतेरे||many
जुर्म||crime
नव्वाबों||Nawabs
पटना||Patna (capital of Bihar)
स्वतंत्रता||freedom
कलकत्ते||Calcutta (capital of West Bengal)
चिनगारी||spark
कोल्हापुर||Kohlapur (a city)
देशी||native
ठुकराया||rejected
घिर||surround
जेवर||jewelry
सवारी||passengers
महलों||palaces
गहने-कपड़े||ornaments-clothes
पहचानी||recognize
सिधार||cigar
सरे-आम||openly
वीर-गति||heroic speed
घात||ambush
डलहौजी||Dalhousie
सैन्य||military
अखबार||newspaper
चूडि़याँ||bangles
देहली||Delhi
धुंधूपंत||smoky
भवानी||Bhavani
छाई||spread
सखियाँ||girl friends
गुमी||lost
मर्द||man
इज्जत||respect
अजीमुल्ला||Aji Mulha
गम||sorrow
राजाओं||Kings
भाले||spear
सुनीं||listened
अतिकाय||Inexhaustible
घमंड||show off
न्याय||justice
खड़||steep
धारा||stream
चिकित्सा||treatment
सूर्योदय||sunrise
सुलह||compromise
पृथ्वी||Earty
थर्रा||tremble
खलबली||panic
सौम्य||gentle
हताशा||desperation
चिघाड़||scream
सि्ांह||Lion
बूटी||herb
पराक्रमी||mighty
उपचार||treatment
नेतृत्व||lead
अभेद्य||cannot pass through
ताबड़तोड़||sub-division
टल||delay
अंक||point
जयकार||cheer
रत्नों-मणियों||beads
कौंध||uncomfortable
सदा||always
उत्सुकता||curious
गर्व||pride
सत्य||truth
डिगा||move
सुंदरता||beauty
पुल||bridge
जयघोष||hail
संरचना||structure
परास्त||defeated
चमत्कृत||miracle
कल्पनाओं||imagination
महानता||greatness
हड़बड़ाकर||fluttering
देशद्रोह||traitor
अन्याय||injustice
चुहल||chatter
कमान||bow
महाविनाश||great destruction
वैद्य||doctor
घायलों||injured
युद्धनाद||war
बिलबिलाता||bubbly
बहा||shed
भरती||recruit
रिसाव||leak
कँकड़||stones
रणक्षेत्र||battlefield
नष्ट||destroy
सावधान||warn
अभियान||campaign
अशुभ||impure
घाव||wound
हिनहिनाहट||neighing
मस्तक||head
बरसात||rain
विस्मय||astonished
सूझा||suit
बरसने||rain
कल्याण||good
चीत्कार||scream
मुठभेड़||meeting
कूच||march
परिवर्तित||changed
पक्ष||party
रत्ती||bit
ध्वजा||flag
विकल्प||option
हर्ष-ध्वनि||happy sound
कराहते||groan
विश्वासघात||bretrayal
पराजय||defeated
भंडार||store
भाँति||like
समाप्त||end
मशालें||torches
एकमात्र||only
ठान||strain
फुफकारते||puffing
प्रहस्त||handy
अंत्येष्टि||funeral
डेरा||camp
चर्चाएँ||discussions
पश्चाताप||feel sad
गुप्त||hidden
रक्त||blood
नियम||customs
जटित||studded
दहला||frightening
अन्यथा||otherwise
आपसे||from you
शरण||protection
स्वर्ण-कलश||gold vase
मिलवा||meet
अहंकार||ego
शंका||doubt
अधीर||impatient
आभार||gratitude
अन्न||food
हताश||desperate
घुमाता||rotate
महासंग्राम||struggle
कातरता||timid
लहरा||wave
विभक्त||divide
डस||sting
शस्त्रें||weapons
अचूक||accurate
रौंदते||trample
पलकें||eyelids
अचेत||Unconscious
भविष्य||future
शस्त्रगार||armour
चक्रवात||cyclone
मूर्च्छित||faint
मूर्च्छा||Unconscious
अनाथ||orphan
योजनाओं||plans
पताकाएँ||flags
ध्वस्त||demolished
दुर्बल||weak
घातक||deadly
शिविर||camp
बूते||strength
स्वस्थ||fit
सर्वव्याप्त||everywhere
बँधा||tight
बह||flow
सहायकों||helpers
शव||dead body
रणभूमि||battlefield
किलकारियों||killers
फूँक||frown
उत्पन्न||create
रणनीति||Strategy
अक्षम||disabled
दहाड़ती||boat
ध्वनियाँ||sounds
हिम्मत||courage
कहलाया||called as
निरीक्षण||inspection
मुकुट||crown
सत्कार||respect
चमचमाता||glittering
सहारा||help
अनुरूप||according
गूँज||echo
तत्पर||ready
शुभचि्ांतक||well-intentioned
दाहिना||right
ट्टषि-मुनियों||saints
स्वभाव||nature
भोगना||reap
मौजूद||present
संक्षेप||summary
गद्दी||seat
सुप्रसिद्ध||well known
कीर्तिमान||record
चौसर||gamble
परीक्षित||Pareekshit
आदेशानुसार||by order
नीति||policy
प्रमुख||chief
जन्म||birth
लौटे||returned
शर्त||bet
कंठस्थ||memorize
अपराध||crime
अंधे||blind
यज्ञ||prayer
विचित्रवीर्य||Vichitraveer
जाती||group
प्रकार||type
समय||time
आम||ordinary or mango
सभा||assembly
मधुर||delicious
प्रसार||spreading
वैरभाव||hotility
प्रारंभ||start
सोलह||16
समस्त||all
अनुसार||according
बिताकर||to spend
अनाथ||orphan
शिष्यों||disciples
साम्राज्य||empire
इंकार||refuse
सौंप||entrust
पालन-पोषण||upbringing
प्रायश्चित||atonment
छिन||minus
अध्यक्ष||director
मोह||temptation
तरफ||directoin
कष्ट||pain
युद्ध||war
पाँचों||5
फलस्वरूप||Result
राज्य||kingdom
महायज्ञ||master
पौराणिक||Mythological
कुमारों||boys
अकाल||famine
वनवास||exile
सूत||Sooth
द्वारा||by
रिवाज||custom
लालची||greedy
बुद्धि||wisdom
तपस्या||austerity
मशहूर||famous
संधि||treaty
विशाल||huge
शांति||peace
पोते||grandchildren
प्रखर||intense
शरीर||body
हिस्से||parts
मृत्यु||death
अतः||so
छत्तीस||36
बारह||12
पढ़ाया-||taught
मानव-जाति||human kind
मुताबिक||according to
बाजियाँ||turn
दिन-पर-दिन||day by day
चौपड़||four way
अज्ञातवास||unknown
कुटिल||evil
शिष्य||student
तेरह||13
कथा||story
देन||gift
तरफ||direction
शिक्षा||study
विरक्त||devoid
मुसकराई||laughed
चूमा||kissed
रुकी||stopped
अवश्य||definitely
मानेंगे||agree
बौछार||shower
राजन्||king
तेजस्वी||bright
नवयौवन||new age
अकारण||without reason
पुरस्कार||call
बाणों||arrows
आठवाँ||8th
क्षोभ||apologize
परवाह||care
आश्चर्य||surprised
मुकाबला||competition
गठीला||knot
शर्तें||terms
बहती||flowing
रण-कौशल||tactics
पालूँगी||take care
हटा||move
शास्त्र-ज्ञान||Scientific knowledge
दंग||riot
प्रचंड||huge
भोग-विलास||luxury
घृणित||disgusting
बालक||child
अभिनय||acting
अज्ञात||unknown
पैदा||born
माननी||respect
युवती||young woman
माथा||forehead
ठहर||stop
हँसती-मुसकराती||laughing
जाइए||go
जीने||live
राजनीतिज्ञ||politician
फेंकूँगी||throw
युवक||young boy
विख्यात||famous
दोहराई||repeat
अप्सरा-सी||elf-like
उद्विग्न||very sad
छाया||shade
प्रयत्न||try
कोई-न-कोई||somebody
कहलाए||called
माँगोगे||ask
पुत्री||daughter
राजवंश||dynasty
पूछा-पिता||father-son
सुशोभित||graceful
यदि||if
संसार||world
समाई||capacity
सानंद||auspicious
क्रम||order
अटल||firm
गोलमोल||round
कुतर-कुतरकर||biterly
मल्लाहों||colony
प्रेम-याचना||lover
पूछताछ||inquire
जरा||little
कल्पना||imagination
सरदार||chief
संतुष्ट||satified
कीड़े||insects
राज-सिहासन||throbe
नागवार||unblessed
पितृभक्त||paternal
कठोर||hard
सत्यवती||Satyavati
भयंकर||frightful
व्यथा||sorrow
कुशाग्र-बुद्धि||intelligent mind
आपत्ति||objection
प्रफुल्लित||excited
पूज्य||worshipful
नाती||Grand daughter
जीवनभर||lifelong
तरुणी||girl
आजन्म||today
विराग||disfavour
ठोकरें||rejection
जीती||won
अवहेलना-सी||neglect
स्त्री-रूप||feminine form
दिलाकर||get
राजपुत्रियों||princes
राजकन्याओं||princesses
अनुरुक्त||affectionate
छह||6
होनेवालों||to be
झूठी||false
जँची||test
कन्याओं||girls
प्रबंध||manage
अवहेलना||neglect
प्रविष्ट||entered
फिरी||turn
मिन्नतें||request
लाचार||helpless
हार-जीत||win lose
अद्वितीय||unique
छिड़||start
सम्मिलित||included
प्रतिष्ठा||prestige
राजी||agree
विवाह-मंडप||Wedding pavilion
शिखंडी||Shikhandi
विद्वान||scholoar
पराजित||defeated
बालिग||adult
फब्तियाँ||quality
फेर||round
निश्चय||decision
भीख||beg
अनुरोध||request
गांगेय||Galactic
प्रतिहिसा||revenge
देश-विदेश||countries
प्रण||promise
मैदान||field
योद्धाओं||warriors
कन्या||girl
गिरे||surround
महान||great
बेचारी||poor thing
साफ़||clear
माँगती||request
स्पर्धा||competition
कर्तव्य||duty
तपोबल||charm
इच्छानुसार||wanted
पति||husband
विद्या||knowledge
आपस||between
दृढ़व्रती||Perseverance
लगीं-माना||like
सँभालना||manage
पिघल||melt
बेटी||daughter
टक्कर||collide
दुखड़ा||sorry
विदित||knowning
वीर||brave
कुरुक्षेत्र||kurukshetra
लड़ते||fight
स्वेच्छाचारी||Unwholesome
ज्ञानी||brainy
स्वयंवर||Wedding ceremony
वृत्तांत||story
मनोनीत||nominated
वश||habit
सह||with
वीरोचित||heroic
दयार्द्र||merciful
परिस्थिति||situation
एकांत||lonely
आग्रहपूर्वक||earnestly
धर्म||duty
नाश||drunk
भलाई||goodness
तथा||and
जुआ||gamble
मानता||agree
प्रख्यात||eminent
न्यौता||invitation
धर्मशास्त्र||theology
हमेशा||always
जँचता||estimate
मानने||accept
नियुक्त||appointed
ध्यानपूर्वक||carefully
बुलाकर||calling
कमजोरी||weakness
निःस्पृह||unselfish
टाल||delay
कोख||womb
निवेदन||request
राजनीति||politics
कुचाल||squash
प्रधानमंत्री||prime minister
युवावस्था||boyhood
छल-प्रपंच||trickster
देवताओं||gods
कीर्ति||fame
श्रेष्ठ||best
पलने||live
एवं||and
प्रदान||provide
शाप||curse
संयोग||coincidence
सुपुर्द||entrust
ऋषि-दम्पति||sage couple
सेवा-सुश्रूषा||Service-loving
वरदानों||benefit
संतान-लालसा||children
विहार||enjoy
शापवश||curse
फैली||spread
प्रचलित||prevalant
शोभित||decorated
असर||effect
निःसंतान||childless
शस्त्रधारियों||Armaments
पत्नियों||wives
उपदेश||preching
प्रथा||practice
बरस||rain
कुंडलों||coil
सेवा-टहल||way of walking
प्रतीत||seem
पुत्रबदुआओ||son-in-law
प्रसिद्ध||famous
अनुग्रह||grace
अधिरथ||accident
निहार||judge
उद्गारमय||exclaimation
जिक्र||mention
जन्मजात||inborn
प्रकृति||nature
स्त्रियों||women
रचा||make up
सूर्य-पुत्र||son of sun
सावधानी||warning
सहनशीलता||tolerance
दुर्घटना||accident
वृद्धाएँ||old age
कवच||armour
वसंत||sprint
कुमारी||woman
संतानोत्पत्ति||children
बचपन||childhood
फुफेरे||step
कन्ये||girls
डेरे||camp
समझाते||understand
कृपाचार्य||gracious
जल-क्रीड़ा||water insect
थक-थकाकर||tiredly
द्वेषभाव||hatred
बाँधकर||tie
जागे||wake
अस्त्र-विद्या||Ballistics
रेत||sand
लताओं||vines
तंग||worry
हँसी-मजाक||joking
नशे||drunk
जरूर||definitely
खेलकूद||play
धूमधाम||big show
खेले-तैरे||play
राजनीति-कुशल||Politically skilled
बहता||flowing
डुबोकर||dip
तैरने||swim
किनारा||corner
झूमता-झामता||swinging
कदापि||nevertheless
नशा||drunk
वैर||enemy
भोजन||food
शरीर-बल||body force
कहलाते||called
विष||poison
द्वेष||grudge
खीझने||tease
गंगा-किनारे||banks of Ganga
निदा||call
छान||search
प्रति||per
डेरों||camps
जोश||passion
हालत||condition
महारथी||great
देह||body
आचार्य||teacher
तैश||huffiness
जय||praise
चाबुक||whip
प्रजाजन||subjects
रंगभूमि||Theater
प्रयोग||use
बराबर||equal
शत्रुओं||enemies
संचालन||operations
काँपता||trembling
दीपकों||lights
दर्शक||audience
लहू||blood
लाठी||stick
सूर्यदेव||sun god
चतुरता||clever
करतब||feat
दर्शक-वृंद||viewer
घनिष्ठ||tell
रोबीला||show offहो-न-हो||whether it happens or not
पुकारने||call
गुरु-दक्षिणा||guru blessings
खेले-कूदे||play
छीनना||snatch
कभी-कभी||sometimes
बाँट||distribute
चिपकती||stick
तुम्हारी-हमारी||yours and mine
गरीब||poor
कुएँ||well
कम-से-कम||at least
मूर्ख||idiot
पलभर||in a second
बराबरी||equal
मेला||fair
दोष||country
पुत्रो||sons
दिला||get
वरना||otherwise
दबाव||pressure
तेल||oil
बनवाया||make
परन्तु||but
किसी-न-किसी||somebody
रात-दिन||day night
समझाकर||explain
कुछ-न-कुछ||something
पछताइएगा||regret
कमी||less
आराम||rest
मौत||death
कमर||room
सोए||sleeping
झेलते||tolerate
रातभर||night-long
समझदार||understanding
बाएँ||left
बिलकुल||totally
बकने||talk
घबराकर||scared
रीढ़||spine
मकान||house
भूख||hungry
भूखा||hungry
रुक||stop
चीजें||things
सुरंग||tunnel
निकम्मा||useless
सूखी||dry
गुस्से||angry
उखाड़||uproot
अंदर||inside
इकट्ठे||collect
घुटनों||knees
फैल||spread
बच||save
बक||speak
गुफा||cave
चितित||worried
प्यास||thirst
भिड़||crowd
अँधेरे||dark
पेड़-पौधों||trees
सुंरग||cave
बाप-दादा||father-grandfather
रोती-रोती||crying
पिछले||before
झपटा||snatch
मरी||die
तिसपर||third
गाड़ी||cart
गाँव||village
कृपा||please
अनाप-शनाप||chaos
खाने-पीने||eat-drink
भरण-पोषण||Maintenance
माता-पिता||mother-father
ढा||collapsed
मुसीबतें||troubles
कर्मचारी||workers
कुम्हार||potter
चौंक||startled
बिताने||spend
होड़||competition
बिताए||spend
नन्हा||small
चाहें||wish
आश्रय||shelter
हिस्सा||part
बाकी||remaining
हाय-तौबा||OMG
निगाह||vision
दौड़ाता||make run
सबूत||proof
आधी||half
आराम||resting
कमजोर||weak
पुरोचन||Purification
कुढ़ने||rubbish
दिलाता||get
निःशंक||unsure
दलीलों||beg
कुशलता||skill
उकसाने||ablaze
सत्ता||power
ललचाया||tempt
बहाने||excuse
पीढि़यों||generations
सिर्फ||only
दिनोंदिन||day-by-day
इरादे||ideas
खूबियों||goodness
खुशी||happiness
भतीजे||nephews
जलन||burn or jealous
चक्कर-सा||spinning
जड़||little
मानो||think
जनता||people
तड़प||suffer
मल्लाह||voyager
दबा||press
दुरात्मा||bad man
खड़ी-खड़ी||standing
सप्ताह||week
भरता||fill
मनुष्य||human
धीरज||courage
राख||ash
लाँघकर||jump
गूढ़||dormant
छा||shadow
जुल्म||crime
मिटती||fade
व्यथाभरी||,miserable
आधे||half
ब्रह्मचारियों||theologians
मानीं||believe
सिवाए||except
बेधड़क||fearless
भिक्षा||begging
भवन||building
चहारदीवारी||championship
दार्शनिक||Philosophical
कवलित||near death
लोटपोट||tossing
जंगली||wild
चुकाना||repay
पुरोचन||pure
दीनभाव||miser
अंधेर||dead
घूम-घामकर||roaring
सांकेतिक||indicate
चौकन्ने||cautious
दुस्साहस||reckless
जलाशय||damn
सुस्ताकर||comfortably
प्रसन्नतापूर्वक||happily
चितामुक्त||free
अँधेरा||darkness
त्यागता||leave
भले||if
दुबला||skinny
समीप||near
नामक||named
सताने||torture
लपटों||flames
ठाठ||show
पटक||choke slam
असमय||opposite of समय
अनुनय-विनय||persuade
हठ||stubborn
नाते||relation
बलि||sacrifice
थकावट||tired
भेद||difference
धरकर||hold
फाटक||gate
लाश||dead body
बेहोश||faint
बेखटके||unwittingly
खतरनाक||dangerous
ठहराए||settle
उन्मत्त||mad
पीठ||back
कारीगर||worker
बुझाई||extinguish
अत्याचारी||oppressive
समझौते||agreement
खूबी||goodness
भोज||weight
घसीट||drag
दयनीय||pitful
जाँच||check
रौंदता||trance
पग||step
दग्ध||burn out
खीझ||irritation
पीडि़त||victim
कड़ी||hard
शोक-प्रदर्शन||Condolence
सिसकियाँ||sob
ताड़||palm
भोजन-सामग्री||food
बाजे||music
ढिठाई||cheek
विघ्न-बाधाओं||hinderance
बाट||share
हथियार||weapon
पुष्टि||confirm
भस्म||consume
दृढ़||firm
उद्धरणों||quotes
पुरवासी||occupant
सलाहकार||advisor
कूटनीतिज्ञों||diplomats
अधीन||under
धर्मानुसार||accordingly
ईर्ष्या||envy
साथियों||companions
भेद||distinction
चौकन्ने||alert
सफलता||success
वंचित||deprived
प्रमाणों||evidence
गुणवान||talented
शक्ति-संपन्न||power hungry
मोम||wax
चरबी||fat
पांडु-पुत्रें||sons of Pandav
अंकुश||curb
कुमंत्रणा||mischief
भतीजों||newphew
राजनीतिक||political
सहा||suffer
चौराहों||intersection
लोकप्रियता||popularity
मुख्य||main
न्यायपूर्वक||justly
सन||flax
स्थिर||stable
शीघ्रगामी||speedy
भवन||building
सभा-समाजों||meetings
ऐश्वर्यवान||luxurious
पृष्ठ-पोषकों||servants
बहिन||sister
रचना||made up of
सँग||with
वार||attack
अमर||immortal
हाय||omg
लावारिस||unclaimed
द्वंद्व||dual
सत्तावन||57
हड़प||kidnap
अभिमान||pride
आह्नान||inhuman
अभिराम||pleasure
विजयी||victorious
विषम||odd
स्वर्ग||heaven
चित्र||picture
राजवंशों||dynasty
संग||with
किंतु||but
बलपूर्वक||forcefully
काशिराज-कन्ये||girls of the Kashi kingdom
जकड़ा||fasten
पटती||friendship
चूर||crushed
मेले||fair
भीष्म||bheeshm
पितामह||grandfather
शुकदेव||Shukdev
वैशंपायन||Vaishampayan
शौनक||Shaunak
शांतनु||Shantanu
चित्रंगद||Chitrangad
धृतराष्ट्र||Dhritarashtra
पांडु||Pandu
कुंती||Kunti
माद्री||Madri
पांडवों||Pandavas
युधिष्ठिर||Yudhisthira
हस्तिनापुर||Hastinapur
कौरव||Kaurav
कौरव-सेना||Kaurav army
इंद्रप्रस्थ||Indraprastha
कौरवों||Kauravas
द्रौपदी||Draupadi
दुर्योधन||Duryodhana
पारावार||limit
यदुवंश||Yadhuvansh
कुंतिभोज||Kuntibhoj
चक्र||spin
मृगछाला||deerskin
धृष्टद्युम्न||Dhrishtadyumna
सकुचाते||hesitate
राजकुमारी||princess
बलराम||Balram
राजकन्या||kindom girl
टिके||stick
वीरों||braves
बुलावा||calling
शिशुपाल||Shishupal
जरासंध||Jarasandh
शल्य||Shalay
घूम||roam
ब्राह्मण-वेश||Brahmin-vest
शत्रुता||enmity
अंग-नरेश||Ancestral
सहलाता||rub
मचाया||make
दर्शकों||viewers
कसर||left
घोषणा||announce
लहर-सी||wave
पांचाल-नरेश||Panchal Naresh
वृहदाकार||great
यंत्र||device
चढ़ानी||cover
पदार्पण||start
पहनाएगी||wear
वेष||clothes
सम्मति||agree
वेषधारी||dresser
समाए||time
टँगी||hang
अग्नि-शिखा||flame
छूट||leave
झोंपड़ी||hut
मचानेवाले||make
तानकर||tie
निशाने||aim
मुसकराते||laugh
पांचाल||Panchal
मंडली||circle
सैकड़ों||many
अनूठी||unique
चमकदार||bright
टँगे||hang
देरी||late
असफल||fail
फूले||fruits
प्रतिबिंब||image
विप्लव||mess
विचारकर||think
मंडप||canopy
दौड़े||run
गरजकर||roar
बहू||daughter-in-law
निर्जन||lonely
नीयत||intension
शासकों||rulers
नायक||hero
असीम||infinite
अनुभव||experience
अमूल्य||priceless
घृणा||hate
भवनों||buildings
श्रेय||credit
शकुनि||Shakuni
श्रेयस्कर||advantage
वंश||family
धर्मात्मा||saint
भग्नवशेषो||ruins
हर्ष||joy
परख||test
उपरांत||after
खांडवप्रस्थ||canopy
पूर्वजों||Ancestors
पुरु||Puru
नहुष||Nahush
ययाति||Yayati
कमाएँगे||earn
निर्माण||Construction
यश||fame
तेईस||23
लहरें||waves
जमाना||time
प्रलोभन||temptation
द्रुपदकुमार||Drupadkumar
सादर||nicely
निपुण||expert
पांचालराज||Panchalraj
दुर्गों||Fortress
सोच-विचारकर||thinking
उपहार||gifts
सुखपूर्वक||happily
शिल्पकारों||Artisans
जाग||wake
यथाविधि||as such
आफत||trouble
तिस||third
विरोधी||opponent
फूट||break
प्रतापी||magnificent
बसाने||live
दुःशासन||miserable
सलाह-मशविरा||discussion
जोकि||which
लिवा||Liva
परस्पर||both
थकता||tired
समेत||also
प्रबल||strong
लालच||greed
विधिपूर्वक||Lawfully
उग्रसेन||Agrasen
अजेय||Invincible
ठहराकर||settle
शांति-प्रिय||peace loving
सम्मानित||Respected
चौदहवें||Fourteenth
फौरन||immediately
विधिवत्||Lawfully
गाँवों||villages
एकाएक||suddenly
पूजा||prayer
सेनाओं||soldiers
मामूली||simple
मेहमानों||guests
नगरों||cities
धन्य||blessed
सम्राट-पद||Emperor
कड़ककर||snap
शब्द-बाणों||shower of words
आदर-सत्कार||Respectfulness
साध्य||workable
वासुदेव||Vasudev
कुलीन||Noble
प्रजा-पालन||people agree
अतिथियों||guests
अग्र-पूजा||Prayer
बंधुओं||friends
व्यंग्य||irony
नरेशों||kings
बुझती||quench
मथुरा||Mathura
संपूर्ण||complete
सम्राट||emperor
नीति-कुशलता||strategy
कुश्ती||wrestle
मगध||Magadh
नाराज||angry
छुड़ा||freed
निर्दोष||innocent
रचकर||shape
श्रीकृष्ण||Shri Krishna
शौर्य||Bravery
मरवा||die
राजाधिराज||Rajdhiraj
विजय-यात्र||Triumph
सामर्थ्य||strength
विनयशीलता||Modesty
कुशा||Kusha
नासमझ||stupid
गौरवान्वित||proud
सुविधा||convenience
अन्यायी||unjust
अधीनता||bow down
साम्राज्याधीश||Empire
भरतवंश||Bharathwansh
कुचक्र||plot
कंस||Kans
बंदीगृह||prison
वल्कल||root
छत्रछाया||Canopy
द्वारकाधीश||Gate keeper
राजसूय||Rajsoyu
व्रत||fast
राह||way
अभ्यागत||Visitor
द्वारका||Dwarka
आड़े||upside-down
आकांक्षा||want
मगधदेश||Magadh
पदवी||title
भाई-बंधुओं||brothers
बगल||next to
बिगाड़ा||spoit
पीला-सा||yellow
बजाए||instead
टालूँगा||put off
हवाले||responsible
घुटने||knees
खिलाड़ी||player
आपसी||themselves
एकबारगी||once
ठाट-बाट||that way
वैर-विरोध||against
बंधु||brothers
अश्वत्थामा||Ashwathama
चतुराई||clever
असह्य||Unbearable
महावीर||Mahavir
सता||trouble
सोमदत्त||Somadut
ईजाद||make up
उद्देश्य||meaning
मँजा||mad
जीना||live
टेक||kneel
स्मरण||reminder
यश-समृद्धि||Achievement
शौक||interest
मात्र||only
ऐश्वर्य||Aishwarya
जँच||test
परम||main
झगड़े-फसाद||fighting
व्यर्थ||useless
जुए||gamble
उपभोग||use
शपथ||promise
सभा-मंडप||hall
गुपचुप||sly
जयद्रथ||Jayadrath
बुरा-भला||good-bad
झगड़े||fight
खींचनें||pull
झुककर||bow
गुलाम||servant
पिछली||previous
भरत-वंश||Bharat-Vansh
दास-दासी||servants
विचारों||thoughts
बड़े-बूढ़ों||elders
क्रोध-प्रदर्शन||fits of anger
तोड़-फोड़||destroy
खचाखच||full
नहा-धोकर||bathe
मामले||things
सोने-चाँदी||gold-silver
छिः-छिः||yuck
नियमों||customs
वीरो||braves
भुजाएँ||put off
परिवार||family
रीति||customs
फेंककर||throw
साधारण||easy
हाँफता||puffing
साँवले||questions
बहाना||excuse
संपत्ति||wealth
भाषण||speach
विश्राम-गृह||guest house
संसारभर||worldwide
परदा||curtain
पंजे||fist
झुका||bowed
फड़क||difference
बिछा||spread
शरीरों||bodies
उदासी||sad
बकरियाँ||goats
खास||special
खजानों||treasures
इशारों||signs
स्वागत-सत्कार||welcome
सँभालने||manage
हक||right
नियम-विरुद्ध||against customs
बिखेर||scatter
सज्जन||person
भेड़||sheep
खींचता||draw
अवस्था||condition
द्रुपदराज||Drupadraj
रत्नों||Gems
विद्याओं||arts
विकल||confused
भ्रम||myth
ठहराता||stops
युयुत्सु||Yuyutsu
परेशानी||trouble
आसन||position
प्रातिकामी||early
उदार-हृदय||liberal
परिणाम||result
मूल्यवान||valuable
चाव||appitite
विद्यमान||existing
चीर||rag
निमंत्रण||invitation
धो||wash
अजातशत्रु||Ajatashatru
फटकारने||scold
यथोचित||reasonable
चेता||warning
बहाए||shed
कंपकंपी-सी||tremble
दुष्टात्मा||Dushtaatma
झल्ला||shake
होंठ||lips
दाँव||turn
विकर्ण||Diagonal
पतन||fall
जोड़ीदार||partner
कृप||please
नियमपूर्वक||ordinary
देवि||goddess
लक्षणों||intensions
न्यायोचित||justified
बाजी||turn
गुँथे||knot
दुर्दशा||bad condition
हर्षनाद||cheer
दुर्दैव||doom
वादे||promise
धोखे||cheat
उकसाया||provoke
वयोवृद्ध||elderly
अभिवादनादि||greetings
नाहक||unwanted
गँवा||lost
जाल||trap
प्रेरित||inspired
दीन||poor
आधार||base
रथवान||charioteer
सज्जनो||people
घसीटता||drag
परशुराम||Parashuram
ब्रह्मचारी||Brahmachari
बिखेरता||spread
कृपया||please
अँगूठे||fingers
ऋषि-मुनि||saints
फ़ौरन||immediately
लाशें||bodies
मैत्रेय||Maitreya
श्रद्धा||faith
ऊब||Bored
छेड़ी||tease
ठोकता||knock
अश्रुधार||choke
ढककर||cover
वृष्टि||rain
मोल||buy
बुद्धिमता||intelligence
केशों||hair
द्वारकापुरी||Dwarakapuri
बालू||sand
जाँघ||thigh
उतावली||rash
रमाए||spread
ढक||cover
काम्यक||Kamyak
चेदिराज||Cheidraj
गद्गद||Gadhad
अनुसरण||अनुसरण
झुँझलाकर||Shouting
निहारता||look out
कुरेदता||good
कैकेय||Kaykey
जुतवाया||puff
अविरल||continuous
साम्राज्ञी||empress
समुचित||correct
कुरु||Kuru
सुभद्रा||Subhadra
जिद्दी||stubborn
स्नेह-संबंध||love
अभिमन्यु||Abhimanyu
क्रमशः||Respectively
संजय||Sanjay
मुख||mouth
धृष्टकेतु||Dhrishtaketu
बहाती||drain
तलाश||search
मौसम||season
बगीचा||garden
ताज्जुब||surprise
पांडुवीर||Brave Pandvas
लाँघ||long
नम्र||humble
भाग्यवान||lucky
खिले||bloom
दंडवत||bow
कुरुवंश||Kuruvansh
बगीचे||garden
सुगंधित||scent
ताकतवर||strong
धरी||hold
मारुति||Maruti
हिली||shake
लाँघना||cross
सुहावना||nice
झरने||waterfalls
बलिष्ठों||Galleons
केले||banana
घाटी||valley
कण||Karan
हजार||1000
